Method, Number of uses
org/jfree/chart/plot/PlotRenderingInfo.getSubplotIndex, 6
org/jfree/chart/internal/Args.nullNotPermitted, 831
org/jfree/chart/plot/PlotRenderingInfo.getSubplotInfo, 8
org/jfree/chart/plot/PlotRenderingInfo.getDataArea, 17
org/jfree/chart/internal/CloneUtils.clone, 29
org/jfree/chart/internal/SerialUtils.writeShape, 26
org/jfree/chart/internal/SerialUtils.readShape, 26
org/jfree/chart/axis/TickUnit.equals, 6
org/jfree/chart/axis/TickUnit.getSize, 12
org/jfree/chart/swing/editor/LCBLayout.<init>, 8
org/jfree/chart/plot/XYPlot.<init>, 17
org/jfree/chart/plot/XYPlot.setOrientation, 12
org/jfree/data/Range.combine, 10
org/jfree/chart/axis/AxisSpace.<init>, 15
org/jfree/chart/axis/AxisSpace.getLeft, 9
org/jfree/chart/axis/AxisSpace.getRight, 9
org/jfree/chart/axis/AxisSpace.getTop, 9
org/jfree/chart/axis/AxisSpace.getBottom, 9
org/jfree/chart/plot/Plot.resolveDomainAxisLocation, 19
org/jfree/chart/axis/ValueAxis.reserveSpace, 8
org/jfree/chart/axis/AxisSpace.shrink, 12
org/jfree/chart/plot/PlotRenderingInfo.setPlotArea, 15
org/jfree/chart/api/RectangleInsets.trim, 22
org/jfree/chart/plot/PlotState.getSharedAxisStates, 6
org/jfree/chart/plot/PlotRenderingInfo.getOwner, 30
org/jfree/chart/plot/PlotRenderingInfo.<init>, 7
org/jfree/chart/plot/PlotRenderingInfo.addSubplotInfo, 5
org/jfree/chart/plot/PlotRenderingInfo.setDataArea, 11
org/jfree/chart/legend/LegendItemCollection.<init>, 14
org/jfree/chart/legend/LegendItemCollection.addAll, 5
org/jfree/chart/plot/XYPlot.getRangeAxis, 6
org/jfree/chart/plot/XYPlot.setRenderer, 9
org/jfree/chart/plot/XYPlot.indexOf, 18
org/jfree/chart/plot/XYPlot.configureRangeAxes, 5
org/jfree/chart/internal/CloneUtils.cloneList, 26
org/jfree/chart/internal/PaintUtils.equal, 67
org/jfree/chart/internal/SerialUtils.writePaint, 77
org/jfree/chart/internal/SerialUtils.readPaint, 77
org/jfree/chart/labels/AbstractXYItemLabelGenerator.<init>, 9
org/jfree/chart/labels/AbstractXYItemLabelGenerator.<init>, 5
org/jfree/data/xy/XYDataset.getXValue, 47
org/jfree/data/xy/XYDataset.getYValue, 39
org/jfree/data/xy/IntervalXYDataset.getStartXValue, 11
org/jfree/data/xy/IntervalXYDataset.getEndXValue, 11
org/jfree/data/xy/IntervalXYDataset.getStartYValue, 11
org/jfree/data/xy/IntervalXYDataset.getEndYValue, 11
org/jfree/data/xy/XYDataset.getY, 7
org/jfree/chart/labels/AbstractXYItemLabelGenerator.equals, 5
org/jfree/chart/renderer/xy/AbstractXYItemRenderer.<init>, 18
org/jfree/chart/plot/XYPlot.getDomainAxisEdge, 41
org/jfree/chart/plot/XYPlot.getRangeAxisEdge, 41
org/jfree/chart/axis/ValueAxis.valueToJava2D, 93
org/jfree/chart/renderer/xy/AbstractXYItemRenderer.clone, 18
org/jfree/chart/plot/Plot.<init>, 13
org/jfree/chart/plot/PolarPlot.getAxis, 6
org/jfree/chart/plot/PolarPlot.getAxis, 6
org/jfree/chart/plot/PolarPlot.getDataset, 8
org/jfree/data/general/DatasetChangeEvent.<init>, 33
org/jfree/chart/axis/NumberTick.<init>, 9
org/jfree/chart/axis/ValueAxis.equals, 6
org/jfree/chart/ChartElementVisitor.visit, 9
org/jfree/chart/axis/AxisState.getTicks, 5
org/jfree/chart/text/TextUtils.getTextBounds, 22
org/jfree/chart/axis/ValueTick.getTickType, 5
org/jfree/chart/axis/ValueAxis.getUpperBound, 15
org/jfree/chart/axis/ValueAxis.setAutoRange, 6
org/jfree/chart/legend/LegendItemCollection.add, 9
org/jfree/chart/plot/Plot.equals, 13
org/jfree/chart/plot/Plot.clone, 12
org/jfree/chart/axis/ValueAxis.clone, 5
org/jfree/chart/api/PublicCloneable.clone, 14
org/jfree/chart/internal/SerialUtils.writeStroke, 46
org/jfree/chart/internal/SerialUtils.readStroke, 46
org/jfree/chart/axis/ValueAxis.java2DToValue, 11
org/jfree/chart/axis/ValueAxis.resizeRange, 9
org/jfree/chart/axis/ValueAxis.getLowerBound, 17
org/jfree/chart/date/SerialDate.lastDayOfMonth, 6
org/jfree/chart/date/SerialDate.toSerial, 12
org/jfree/data/xy/AbstractIntervalXYDataset.<init>, 14
org/jfree/data/time/RegularTimePeriod.next, 5
org/jfree/data/time/RegularTimePeriod.getFirstMillisecond, 10
org/jfree/data/time/RegularTimePeriod.getLastMillisecond, 9
org/jfree/data/Range.<init>, 85
org/jfree/data/time/DynamicTimeSeriesCollection$ValueSequence.<init>, 5
org/jfree/data/time/DynamicTimeSeriesCollection$ValueSequence.enterData, 5
org/jfree/data/time/DynamicTimeSeriesCollection.fireSeriesChanged, 5
org/jfree/chart/block/RectangleConstraint.<init>, 15
org/jfree/chart/block/RectangleConstraint.toFixedWidth, 11
org/jfree/chart/block/RectangleConstraint.toFixedHeight, 8
org/jfree/data/Range.getUpperBound, 78
org/jfree/data/Range.constrain, 15
org/jfree/chart/axis/AxisLocation.getOpposite, 5
org/jfree/data/time/Year.<init>, 6
org/jfree/data/time/RegularTimePeriod.<init>, 31
org/jfree/data/time/Year.getYear, 5
org/jfree/data/xy/XYSeries.getItemCount, 8
org/jfree/data/xy/XYSeries.getX, 5
org/jfree/chart/internal/Args.requireInRange, 26
org/jfree/data/xy/XYSeries.indexOf, 5
org/jfree/data/xy/IntervalXYDelegate.setFixedIntervalWidth, 5
org/jfree/data/xy/IntervalXYDelegate.setAutoWidth, 5
org/jfree/data/xy/IntervalXYDelegate.setIntervalPositionFactor, 5
org/jfree/data/xy/IntervalXYDelegate.getDomainBounds, 5
org/jfree/data/xy/IntervalXYDelegate.getIntervalPositionFactor, 8
org/jfree/data/xy/IntervalXYDelegate.getIntervalWidth, 8
org/jfree/data/ComparableObjectSeries.<init>, 6
org/jfree/data/ComparableObjectSeries.add, 6
org/jfree/data/xy/VectorSeries.getDataItem, 9
org/jfree/data/ComparableObjectSeries.getDataItem, 8
org/jfree/chart/plot/XYPlot.getDataset, 15
org/jfree/chart/labels/XYSeriesLabelGenerator.generateLabel, 10
org/jfree/chart/legend/LegendItem.<init>, 10
org/jfree/chart/legend/LegendItem.setLabelFont, 16
org/jfree/chart/legend/LegendItem.setLabelPaint, 16
org/jfree/chart/legend/LegendItem.setDataset, 21
org/jfree/chart/legend/LegendItem.setDatasetIndex, 16
org/jfree/chart/legend/LegendItem.setSeriesKey, 20
org/jfree/chart/legend/LegendItem.setSeriesIndex, 20
org/jfree/chart/ChartRenderingInfo.getEntityCollection, 32
org/jfree/chart/plot/XYPlot.getOrientation, 53
org/jfree/data/xy/XYDataset.getItemCount, 33
org/jfree/chart/internal/ShapeUtils.createTranslatedShape, 15
org/jfree/chart/internal/ShapeUtils.equal, 17
org/jfree/chart/renderer/xy/AbstractXYItemRenderer.equals, 16
org/jfree/chart/entity/ChartEntity.clone, 6
org/jfree/chart/plot/dial/AbstractDialLayer.<init>, 9
org/jfree/chart/plot/dial/DialLayerChangeEvent.<init>, 72
org/jfree/chart/plot/dial/DialPlot.rectangleByRadius, 11
org/jfree/chart/plot/dial/AbstractDialLayer.equals, 9
org/jfree/chart/internal/HashUtils.hashCodeForPaint, 15
org/jfree/chart/plot/dial/AbstractDialLayer.clone, 9
org/jfree/chart/axis/CyclicNumberAxis.getCycleBound, 5
org/jfree/chart/plot/Plot.fireChangeEvent, 18
org/jfree/chart/api/RectangleInsets.equals, 11
org/jfree/chart/plot/Plot.setNotify, 12
org/jfree/chart/event/PlotChangeEvent.<init>, 8
org/jfree/chart/plot/Plot.receive, 6
org/jfree/chart/text/G2TextMeasurer.<init>, 6
org/jfree/chart/entity/EntityCollection.add, 17
org/jfree/chart/plot/Plot.resolveRangeAxisLocation, 20
org/jfree/chart/api/RectangleInsets.<init>, 31
org/jfree/data/xy/XYDataset.getX, 6
org/jfree/chart/text/TextUtils.drawAlignedString, 20
org/jfree/chart/block/BlockContainer.<init>, 5
org/jfree/chart/event/TitleChangeEvent.<init>, 35
org/jfree/chart/api/RectangleEdge.isTopOrBottom, 32
org/jfree/chart/block/EntityBlockParams.getGenerateEntities, 5
org/jfree/chart/entity/StandardEntityCollection.<init>, 6
org/jfree/chart/block/BlockFrame.getInsets, 9
org/jfree/chart/block/BlockResult.setEntityCollection, 5
org/jfree/chart/title/Title.equals, 6
org/jfree/chart/api/RectangleEdge.values, 6
org/jfree/data/general/AbstractDataset.<init>, 15
org/jfree/data/KeyedObjects2D.getObject, 16
org/jfree/data/KeyedObjects2D.getObject, 13
org/jfree/data/KeyedObjects2D.getColumnIndex, 7
org/jfree/data/KeyedObjects2D.getRowIndex, 7
org/jfree/data/KeyedObjects2D.getRowCount, 5
org/jfree/data/KeyedObjects2D.getColumnCount, 5
org/jfree/data/general/AbstractDataset.clone, 10
org/jfree/chart/annotations/AbstractXYAnnotation.<init>, 9
org/jfree/chart/plot/XYPlot.getDomainAxisLocation, 12
org/jfree/chart/plot/XYPlot.getRangeAxisLocation, 12
org/jfree/chart/annotations/AbstractXYAnnotation.equals, 9
org/jfree/chart/axis/NumberAxis.<init>, 28
org/jfree/data/Range.getLowerBound, 69
org/jfree/chart/event/AxisChangeEvent.<init>, 13
org/jfree/chart/api/RectangleEdge.isLeftOrRight, 32
org/jfree/data/Range.getLength, 19
org/jfree/chart/text/TextBlock.calculateDimensions, 9
org/jfree/chart/block/Size2D.getWidth, 27
org/jfree/chart/block/Size2D.getHeight, 27
org/jfree/chart/block/Size2D.<init>, 35
org/jfree/chart/api/RectangleInsets.calculateLeftInset, 7
org/jfree/chart/api/RectangleInsets.calculateTopInset, 7
org/jfree/chart/internal/HashUtils.hashCode, 16
org/jfree/chart/util/StandardGradientPaintTransformer.<init>, 8
org/jfree/chart/JFreeChart.getPlot, 28
org/jfree/chart/JFreeChart.draw, 8
org/jfree/chart/swing/SelectionZoomStrategy.getZoomPoint, 5
org/jfree/chart/plot/Plot.isNotify, 12
org/jfree/chart/ChartRenderingInfo.getPlotInfo, 14
org/jfree/chart/swing/ChartPanel.translateScreenToJava2D, 7
org/jfree/chart/entity/ChartEntity.<init>, 13
org/jfree/chart/internal/HashUtils.hashCode, 11
org/jfree/chart/labels/StandardXYToolTipGenerator.<init>, 9
org/jfree/chart/internal/Args.requireFinite, 12
org/jfree/chart/axis/ValueAxis.getRange, 25
org/jfree/chart/api/RectangleAnchor.getAnchorPoint, 11
org/jfree/chart/internal/HashUtils.hashCode, 11
org/jfree/data/xy/AbstractXYDataset.<init>, 11
org/jfree/data/statistics/BoxAndWhiskerItem.getMinOutlier, 5
org/jfree/data/statistics/BoxAndWhiskerItem.getMaxOutlier, 5
org/jfree/data/category/IntervalCategoryDataset.getStartValue, 6
org/jfree/data/category/IntervalCategoryDataset.getEndValue, 6
org/jfree/chart/labels/XYToolTipGenerator.generateToolTip, 5
org/jfree/chart/urls/XYURLGenerator.generateURL, 5
org/jfree/chart/entity/XYItemEntity.<init>, 5
org/jfree/chart/internal/HashUtils.hashCode, 7
org/jfree/chart/renderer/Outlier.getPoint, 6
org/jfree/data/time/Minute.<init>, 6
org/jfree/data/time/Day.<init>, 5
org/jfree/data/time/Hour.<init>, 9
org/jfree/data/time/Day.getYear, 8
org/jfree/data/time/Day.getMonth, 8
org/jfree/data/time/Day.getDayOfMonth, 8
org/jfree/chart/plot/compass/MeterNeedle.<init>, 8
org/jfree/chart/plot/compass/MeterNeedle.equals, 8
org/jfree/chart/plot/compass/MeterNeedle.hashCode, 8
org/jfree/chart/plot/CategoryPlot.getDataset, 6
org/jfree/chart/plot/CategoryPlot.getOrientation, 35
org/jfree/chart/axis/NumberAxis.setAutoRangeIncludesZero, 11
org/jfree/chart/plot/ValueAxisPlot.getDataRange, 5
org/jfree/chart/axis/NumberAxis.getTickUnit, 8
org/jfree/chart/axis/AxisState.<init>, 9
org/jfree/chart/axis/AxisState.setTicks, 7
org/jfree/chart/api/RectangleInsets.getTop, 11
org/jfree/chart/api/RectangleInsets.getBottom, 10
org/jfree/chart/api/RectangleInsets.getLeft, 10
org/jfree/chart/api/RectangleInsets.getRight, 9
org/jfree/chart/axis/TickUnitSource.getCeilingTickUnit, 8
org/jfree/chart/axis/TickUnitSource.getLargerTickUnit, 6
org/jfree/data/Range.contains, 42
org/jfree/chart/axis/NumberTickUnit.valueToString, 7
org/jfree/chart/axis/NumberTickUnit.<init>, 5
org/jfree/chart/api/RectangleInsets.<init>, 5
org/jfree/chart/plot/ThermometerPlot.setAxisRange, 6
org/jfree/chart/axis/ValueAxis.setRange, 9
org/jfree/chart/axis/ValueAxis.setRange, 10
org/jfree/chart/axis/ValueAxis.zoomRange, 6
org/jfree/chart/block/AbstractBlock.<init>, 6
org/jfree/chart/block/AbstractBlock.equals, 5
org/jfree/chart/text/TextFragment.<init>, 5
org/jfree/chart/text/TextUtils.drawRotatedString, 11
org/jfree/chart/text/TextUtils.calculateRotatedStringBounds, 6
org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.<init>, 8
org/jfree/chart/plot/CategoryPlot.getDomainAxisEdge, 19
org/jfree/chart/axis/CategoryAxis.getCategoryMiddle, 17
org/jfree/chart/plot/CategoryPlot.getRangeAxisEdge, 26
org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.equals, 8
org/jfree/chart/plot/pie/PiePlot.<init>, 7
org/jfree/data/general/Series.<init>, 6
org/jfree/data/general/Series.equals, 6
org/jfree/data/general/DefaultPieDataset.<init>, 7
org/jfree/data/DefaultKeyedValues.<init>, 6
org/jfree/data/KeyedValues.getKey, 6
org/jfree/data/DefaultKeyedValues.addValue, 5
org/jfree/data/DefaultKeyedValues.getIndex, 9
org/jfree/data/DefaultKeyedValues.getValue, 6
org/jfree/data/general/DefaultPieDataset.setValue, 7
org/jfree/chart/JFreeChart.<init>, 33
org/jfree/chart/title/TextTitle.<init>, 5
org/jfree/chart/JFreeChart.fireChartChanged, 14
org/jfree/chart/event/ChartChangeEvent.<init>, 11
org/jfree/chart/JFreeChart.notifyListeners, 6
org/jfree/chart/JFreeChart.getSubtitleCount, 5
org/jfree/chart/plot/CategoryPlot.getDataset, 22
org/jfree/chart/renderer/category/CategoryItemRendererState.getVisibleSeriesCount, 7
org/jfree/chart/axis/CategoryAxis.getCategoryMargin, 10
org/jfree/chart/axis/CategoryAxis.getLowerMargin, 10
org/jfree/chart/axis/CategoryAxis.getUpperMargin, 9
org/jfree/chart/renderer/category/CategoryItemRendererState.setBarWidth, 6
org/jfree/chart/plot/PlotOrientation.isHorizontal, 9
org/jfree/chart/axis/CategoryAxis.getCategoryStart, 15
org/jfree/chart/renderer/category/CategoryItemRendererState.getBarWidth, 17
org/jfree/chart/renderer/category/CategoryItemRendererState.getVisibleSeriesIndex, 7
org/jfree/chart/plot/CategoryPlot.indexOf, 8
org/jfree/chart/renderer/category/CategoryItemRendererState.getCrosshairState, 6
org/jfree/chart/axis/CategoryAxis.getCategorySeriesMiddle, 5
org/jfree/chart/entity/ChartEntity.equals, 6
org/jfree/chart/block/RectangleConstraint.getWidthConstraintType, 10
org/jfree/chart/block/RectangleConstraint.getHeightConstraintType, 10
org/jfree/chart/block/RectangleConstraint.getWidth, 11
org/jfree/chart/block/RectangleConstraint.getWidthRange, 15
org/jfree/chart/block/RectangleConstraint.getHeightRange, 12
org/jfree/chart/block/Block.arrange, 13
org/jfree/chart/block/Block.setBounds, 10
org/jfree/chart/block/RectangleConstraint.getHeight, 6
org/jfree/data/time/ohlc/OHLCSeries.getDataItem, 8
org/jfree/chart/date/SerialDate.getYYYY, 7
org/jfree/chart/date/SerialDate.getMonth, 7
org/jfree/chart/date/SerialDate.getDayOfMonth, 6
org/jfree/chart/date/SerialDate.createInstance, 5
org/jfree/chart/renderer/xy/XYItemRendererState.<init>, 8
org/jfree/chart/Drawable.draw, 5
org/jfree/data/general/DatasetUtils.findDomainBounds, 5
org/jfree/data/general/DatasetUtils.findRangeBounds, 5
org/jfree/chart/plot/PlotOrientation.isVertical, 6
org/jfree/data/Range.intersects, 5
org/jfree/chart/util/GradientPaintTransformer.transform, 14
org/jfree/chart/internal/CloneUtils.cloneMapValues, 7
org/jfree/chart/labels/ItemLabelPosition.getItemLabelAnchor, 5
org/jfree/chart/labels/ItemLabelPosition.getTextAnchor, 5
org/jfree/chart/labels/ItemLabelPosition.getAngle, 5
org/jfree/chart/labels/ItemLabelPosition.getRotationAnchor, 5
org/jfree/chart/renderer/xy/XYLineAndShapeRenderer.<init>, 6
org/jfree/data/DefaultKeyedValues2D.getValue, 6
org/jfree/data/DefaultKeyedValues2D.getRowIndex, 6
org/jfree/data/UnknownKeyException.<init>, 24
org/jfree/data/DefaultKeyedValues2D.getRowCount, 6
org/jfree/data/DefaultKeyedValues2D.getColumnCount, 5
org/jfree/data/gantt/TaskSeriesCollection.getSeries, 5
org/jfree/data/gantt/Task.getDuration, 7
org/jfree/data/time/TimePeriod.getStart, 13
org/jfree/data/time/TimePeriod.getEnd, 13
org/jfree/chart/renderer/category/BarRenderer.<init>, 6
org/jfree/chart/renderer/category/BarRenderer.equals, 5
org/jfree/data/ComparableObjectItem.<init>, 7
org/jfree/chart/block/AbstractBlock.clone, 5
org/jfree/chart/axis/ValueAxis.isInverted, 15
org/jfree/data/time/TimePeriodValue.getPeriod, 8
org/jfree/chart/legend/LegendItem.<init>, 7
org/jfree/chart/plot/XYPlot.getDomainAxis, 13
org/jfree/chart/plot/XYPlot.getRangeAxis, 13
org/jfree/chart/StandardChartTheme.applyToValueAxis, 6
org/jfree/chart/block/BlockContainer.getBlocks, 12
org/jfree/chart/plot/CategoryPlot.getRenderer, 7
org/jfree/chart/plot/XYPlot.getDomainAxis, 6
org/jfree/chart/plot/XYPlot.getRenderer, 8
org/jfree/data/flow/DefaultFlowDataset.getStageCount, 5
org/jfree/data/flow/NodeKey.<init>, 5
org/jfree/data/flow/FlowDataset.getStageCount, 7
org/jfree/data/flow/FlowDataset.getSources, 8
org/jfree/data/flow/FlowDataset.getDestinations, 5
org/jfree/data/flow/FlowDataset.getFlow, 6
org/jfree/data/time/TimeSeriesCollection.getSeries, 6
org/jfree/data/time/TimeSeries.getItemCount, 19
org/jfree/data/time/TimeSeries.getTimePeriod, 15
org/jfree/data/time/TimeSeries.getRawDataItem, 6
org/jfree/data/time/TimeSeriesDataItem.getPeriod, 8
org/jfree/data/time/TimeSeriesDataItem.getValue, 9
org/jfree/chart/axis/DateAxis.<init>, 9
org/jfree/chart/axis/DateAxis.setRange, 5
org/jfree/data/time/DateRange.<init>, 5
org/jfree/chart/axis/DateAxis.getMaximumDate, 5
org/jfree/data/time/Month.peg, 5
org/jfree/data/time/RegularTimePeriod.getFirstMillisecond, 10
org/jfree/data/time/RegularTimePeriod.getLastMillisecond, 9
org/jfree/chart/swing/editor/PaintSample.<init>, 5
org/jfree/chart/swing/editor/PaintSample.setPaint, 6
org/jfree/data/xy/XYZDataset.getZValue, 5
org/jfree/chart/legend/LegendItem.<init>, 8
org/jfree/chart/axis/LogAxis.calculateValueNoINF, 8
org/jfree/chart/axis/LogAxis.calculateLog, 12
org/jfree/data/time/RegularTimePeriod.peg, 7
org/jfree/data/DefaultKeyedValues2D.getRowKey, 6
org/jfree/chart/block/GridArrangement.arrange, 7
org/jfree/chart/axis/ValueTick.getValue, 11
org/jfree/chart/axis/ValueAxis.resizeRange2, 5
org/jfree/data/time/TimePeriodValues.getDataItem, 9
org/jfree/data/gantt/SlidingGanttCategoryDataset.getColumnIndex, 8
org/jfree/data/gantt/SlidingGanttCategoryDataset.getRowIndex, 8
org/jfree/chart/api/RectangleInsets.calculateBottomInset, 6
org/jfree/chart/api/RectangleInsets.calculateRightInset, 6
org/jfree/chart/event/MarkerChangeEvent.<init>, 18
org/jfree/chart/axis/CategoryAxis.getCategoryEnd, 9
org/jfree/chart/internal/HashUtils.hashCode, 6
org/jfree/data/xy/XYDataItem.getX, 5
org/jfree/data/xy/XYDataItem.getYValue, 5
org/jfree/data/category/DefaultCategoryDataset.<init>, 7
org/jfree/data/category/DefaultCategoryDataset.addValue, 5
org/jfree/data/xy/XYIntervalSeries.getDataItem, 6
org/jfree/chart/swing/editor/PaintSample.getPaint, 7
org/jfree/chart/axis/Axis.fireChangeEvent, 23
org/jfree/chart/axis/AxisState.getCursor, 9
org/jfree/chart/axis/AxisState.cursorUp, 8
org/jfree/chart/axis/AxisState.cursorDown, 8
org/jfree/chart/axis/AxisState.cursorLeft, 7
org/jfree/chart/axis/AxisState.cursorRight, 7
org/jfree/chart/api/RectangleInsets.calculateLeftOutset, 7
org/jfree/chart/api/RectangleInsets.calculateRightOutset, 7
org/jfree/chart/api/RectangleInsets.calculateTopOutset, 8
org/jfree/chart/api/RectangleInsets.calculateBottomOutset, 8
org/jfree/chart/urls/StandardXYURLGenerator.<init>, 11
org/jfree/chart/labels/CategorySeriesLabelGenerator.generateLabel, 7
org/jfree/chart/renderer/category/BarPainter.paintBarShadow, 5
org/jfree/chart/renderer/category/BarPainter.paintBar, 6
org/jfree/data/general/Series.clone, 8
org/jfree/chart/axis/CategoryAxis.<init>, 11
org/jfree/data/time/TimeSeries.getIndex, 6
org/jfree/data/general/SeriesException.<init>, 7
org/jfree/data/time/TimeSeries.updateMinMaxYByIteration, 6
org/jfree/chart/plot/CategoryPlot.getDomainAxisForDataset, 5
org/jfree/chart/ChartTheme.apply, 32
org/jfree/chart/imagemap/StandardToolTipTagFragmentGenerator.<init>, 5
org/jfree/chart/imagemap/StandardURLTagFragmentGenerator.<init>, 5
org/jfree/chart/imagemap/ImageMapUtils.getImageMap, 5
org/jfree/data/category/DefaultIntervalCategoryDataset.getSeriesCount, 7
org/jfree/chart/axis/AxisSpace.add, 5
org/jfree/chart/title/Title.notifyListeners, 5
org/jfree/data/xy/OHLCDataset.getLowValue, 5
org/jfree/data/xy/OHLCDataset.getHighValue, 5
org/jfree/chart/plot/pie/PiePlotState.getPieCenterY, 5
org/jfree/chart/plot/CategoryPlot.<init>, 11
org/jfree/chart/plot/CategoryPlot.setOrientation, 12
org/jfree/data/statistics/DefaultStatisticalCategoryDataset.updateBounds, 7
org/jfree/data/xy/XIntervalSeries.getDataItem, 8
org/jfree/data/xy/MatrixSeries.getColumnsCount, 5
org/jfree/chart/axis/CategoryLabelPosition.<init>, 6
org/jfree/data/KeyedObjects.getIndex, 8
org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset.updateBounds, 7
org/jfree/chart/axis/ValueAxis.autoAdjustRange, 5
org/jfree/chart/encoders/ImageEncoderFactory.newInstance, 5
org/jfree/chart/internal/Args.requireNonNegative, 8
org/jfree/chart/plot/XYPlot.getRenderer, 10
org/jfree/chart/axis/AxisSpace.ensureAtLeast, 5
org/jfree/chart/renderer/AbstractRenderer.fireChangeEvent, 36
org/jfree/chart/renderer/AbstractRenderer.getDrawingSupplier, 6
org/jfree/data/gantt/TaskSeries.get, 7
org/jfree/data/statistics/HistogramDataset.getBins, 5
org/jfree/chart/plot/CategoryPlot.getDomainAxis, 6
org/jfree/chart/plot/CategoryPlot.getRangeAxis, 11
org/jfree/chart/plot/CategoryPlot.getRenderer, 7
org/jfree/chart/plot/Marker.notifyListeners, 12
org/jfree/chart/axis/CategoryLabelPositions.getLabelPosition, 6
org/jfree/data/xy/XYSeriesCollection.getSeriesCount, 8
org/jfree/data/xy/XYSeriesCollection.getSeries, 9
org/jfree/chart/labels/StandardCategoryToolTipGenerator.<init>, 6
org/jfree/chart/axis/LogarithmicAxis.switchedLog10, 5
org/jfree/data/gantt/TaskSeriesCollection.getRowIndex, 8
org/jfree/data/gantt/TaskSeriesCollection.getRowKey, 7
org/jfree/data/gantt/TaskSeriesCollection.getColumnKey, 7
org/jfree/chart/axis/CategoryLabelPositions.<init>, 7
org/jfree/data/xy/XYSeries.findBoundsByIteration, 5
org/jfree/chart/plot/pie/PiePlot.setToolTipGenerator, 5
org/jfree/chart/urls/StandardCategoryURLGenerator.<init>, 7
